Milliseconds,Pressure,Temperature,NH3,CO,NO2
102078,101797.00,29.80,135,56,56
102400,101795.00,29.80,135,56,56
102720,101795.00,29.80,135,56,56
103042,101794.00,29.80,135,56,56
103362,101799.00,29.80,135,56,56
103684,101798.00,29.80,135,56,56
104005,101797.00,29.80,135,56,56
104326,101794.00,29.80,135,56,56
104647,101798.00,29.80,135,56,56
104968,101795.00,29.80,135,56,56
105289,101791.00,29.80,135,56,56
105611,101797.00,29.80,135,56,56
105931,101786.00,29.80,135,56,56
106256,101793.00,29.80,135,56,56
106576,101792.00,29.80,135,56,57
106898,101793.00,29.80,135,56,56
107219,101788.00,29.80,135,56,57
107540,101790.00,29.80,135,56,57
107866,101789.00,29.80,135,57,57
108189,101788.00,29.90,135,56,57
108511,101790.00,29.80,135,57,57
108831,101793.00,29.90,135,57,57
109153,101791.00,29.90,135,57,57
109473,101791.00,29.90,135,57,57
109795,101792.00,29.90,135,57,57
110116,101793.00,29.90,135,57,57
110437,101787.00,29.90,135,57,57
110758,101794.00,29.90,135,57,57
111082,101791.00,29.90,135,57,57
111404,101794.00,29.90,135,57,57
111724,101794.00,29.90,135,57,57
112046,101796.00,29.90,135,57,57
112366,101794.00,29.90,135,57,57
112688,101790.00,29.90,135,57,57
113009,101793.00,29.90,135,57,57
113330,101791.00,29.90,135,57,57
113651,101794.00,29.90,135,57,57
113972,101798.00,29.90,135,57,57
114293,101788.00,29.90,135,57,57
114615,101795.00,29.90,135,57,57
114935,101795.00,29.90,135,57,57
115257,101792.00,29.90,135,57,57
115578,101790.00,29.90,135,57,57
115902,101788.00,29.90,135,57,57
116224,101784.00,29.90,135,57,57
116544,101790.00,29.90,135,57,57
116866,101786.00,29.90,135,57,57
117186,101786.00,29.90,135,57,57
117512,101788.00,29.90,135,57,57
117835,101789.00,29.90,134,57,57
118157,101789.00,29.90,135,57,57
118478,101787.00,29.90,134,57,57
118799,101786.00,29.90,134,57,57
119120,101787.00,29.90,134,57,57
119441,101788.00,30.00,134,57,57
119762,101784.00,30.00,134,57,57
120084,101784.00,30.00,134,57,57
120404,101788.00,30.00,134,57,57
120729,101790.00,30.00,134,57,57
121050,101792.00,30.00,134,57,57
121371,101794.00,30.00,134,57,57
121692,101796.00,30.00,134,57,57
122013,101797.00,30.00,134,57,57
122335,101794.00,30.00,134,57,57
122655,101795.00,30.00,134,57,57
122977,101794.00,30.00,134,57,57
123298,101794.00,30.00,134,57,57
123619,101796.00,30.00,134,57,57
123940,101794.00,30.00,134,57,57
124261,101793.00,30.00,134,57,57
124582,101800.00,30.00,134,57,57
124904,101796.00,30.00,134,57,57
125224,101800.00,30.00,134,57,57
125549,101796.00,30.00,134,57,57
125870,101795.00,30.00,134,57,57
126191,101794.00,30.00,134,57,57
126512,101796.00,30.00,134,57,57
126833,101795.00,30.00,134,57,57
127158,101792.00,30.00,134,57,57
127481,101789.00,30.00,134,57,57
127803,101795.00,30.00,134,57,57
128123,101793.00,30.00,134,57,57
128445,101792.00,30.00,134,57,57
128765,101794.00,30.00,134,57,57
129087,101794.00,30.00,134,57,57
129408,101796.00,30.00,134,57,57
129729,101793.00,30.00,134,57,57
130050,101795.00,30.00,134,57,58
130374,101793.00,30.00,134,57,57
130695,101797.00,30.10,134,57,57
131016,101794.00,30.10,134,57,58
131337,101791.00,30.10,133,57,58
131658,101797.00,30.10,134,57,58
131979,101797.00,30.10,134,57,58
132300,101796.00,30.10,133,58,57
132621,101797.00,30.10,133,58,58
132942,101797.00,30.10,133,58,58
133263,101791.00,30.10,133,58,58
133584,101798.00,30.10,133,58,58
133905,101795.00,30.10,133,58,58
134226,101794.00,30.10,133,58,58
134547,101795.00,30.10,133,58,58
134868,101795.00,30.10,133,58,58
135192,101796.00,30.10,133,58,58
135514,101792.00,30.10,133,58,58
135834,101792.00,30.10,133,58,58
136156,101792.00,30.10,133,58,58
136476,101790.00,30.10,133,58,58
136798,101795.00,30.10,133,58,58
137125,101795.00,30.10,133,58,58
137447,101797.00,30.10,133,58,58
137768,101790.00,30.10,133,58,58
138089,101793.00,30.10,133,58,58
138411,101793.00,30.10,133,58,58
138732,101794.00,30.10,133,58,58
139053,101799.00,30.10,133,58,58
139374,101799.00,30.10,133,58,58
139696,101794.00,30.10,133,58,58
140019,101797.00,30.10,133,58,58
140341,101801.00,30.20,133,58,58
140662,101800.00,30.20,133,58,58
140983,101799.00,30.20,133,58,58
141304,101795.00,30.20,133,58,58
141626,101800.00,30.20,133,58,58
141946,101799.00,30.20,132,58,58
142268,101798.00,30.20,132,58,58
142589,101799.00,30.20,132,58,58
142911,101795.00,30.20,132,58,58
143232,101798.00,30.20,132,58,58
143553,101796.00,30.20,132,58,58
143875,101795.00,30.20,132,58,58
144196,101797.00,30.20,132,58,58
144517,101796.00,30.20,132,58,58
144841,101797.00,30.20,132,58,58
145163,101794.00,30.20,132,58,58
145484,101796.00,30.20,132,58,58
145805,101796.00,30.20,132,58,58
146126,101792.00,30.20,131,58,58
146448,101795.00,30.20,131,58,58
146775,101795.00,30.20,131,58,58
147097,101794.00,30.20,131,58,58
147419,101793.00,30.20,131,58,58
147739,101792.00,30.20,131,58,58
148061,101793.00,30.20,131,58,58
148382,101792.00,30.20,131,58,58
148704,101789.00,30.20,131,58,58
149024,101791.00,30.20,131,58,58
149346,101790.00,30.20,131,58,58
149670,101794.00,30.20,131,58,58
149991,101791.00,30.20,131,58,58
150312,101792.00,30.20,131,58,58
150634,101792.00,30.20,131,58,58
150956,101794.00,30.20,131,58,58
151276,101790.00,30.20,130,58,58
151598,101793.00,30.20,130,58,58
151919,101793.00,30.20,130,58,58
152241,101788.00,30.20,130,58,58
152561,101791.00,30.20,130,58,58
152883,101787.00,30.20,130,58,58
153204,101786.00,30.20,130,58,58
153526,101788.00,30.20,130,58,58
153846,101788.00,30.20,130,58,58
154168,101787.00,30.20,130,58,58
154492,101791.00,30.20,130,58,58
154813,101791.00,30.30,130,58,58
155134,101790.00,30.30,130,58,58
155456,101791.00,30.30,130,58,58
155778,101790.00,30.30,130,58,58
156098,101788.00,30.30,130,58,58
156426,101787.00,30.30,130,58,58
156747,101787.00,30.30,130,58,58
157069,101789.00,30.30,130,58,58
157390,101794.00,30.30,129,58,58
157711,101793.00,30.30,129,58,58
158032,101794.00,30.30,129,58,58
158354,101794.00,30.30,129,58,58
158675,101794.00,30.30,129,58,58
158997,101790.00,30.30,129,58,58
159321,101790.00,30.30,129,58,58
159642,101787.00,30.30,129,58,58
159964,101789.00,30.30,129,58,58
160284,101788.00,30.30,129,58,58
160606,101787.00,30.30,129,58,58
160927,101788.00,30.30,129,58,58
161249,101789.00,30.30,129,58,58
161569,101789.00,30.30,129,58,58
161891,101792.00,30.30,129,58,58
162212,101793.00,30.30,129,58,58
162534,101787.00,30.30,129,58,58
162855,101787.00,30.30,129,58,58
163176,101789.00,30.30,129,58,58
163497,101792.00,30.30,129,58,58
163819,101791.00,30.30,129,58,58
164141,101787.00,30.30,129,58,58
164459,101797.00,30.30,129,58,58
164781,101792.00,30.30,129,58,58
165101,101791.00,30.30,129,58,58
165423,101790.00,30.30,129,58,58
165744,101790.00,30.30,129,58,58
166069,101795.00,30.30,129,58,58
166393,101796.00,30.30,129,58,58
166714,101795.00,30.30,129,58,58
167035,101791.00,30.30,129,58,59
167356,101796.00,30.40,129,58,58
167677,101794.00,30.40,129,59,58
167999,101799.00,30.40,129,58,58
168320,101797.00,30.40,129,58,59
168641,101795.00,30.40,129,59,59
168963,101796.00,30.40,129,58,59
169286,101792.00,30.40,129,59,59
169607,101795.00,30.40,129,59,59
169928,101795.00,30.40,129,59,58
170250,101792.00,30.40,129,59,59
170570,101795.00,30.40,129,59,59
170892,101795.00,30.40,129,59,59
171212,101797.00,30.40,129,59,59
171534,101799.00,30.40,129,59,59
171855,101795.00,30.40,129,59,59
172176,101796.00,30.40,129,59,59
172539,101792.00,30.40,128,59,59
172861,101794.00,30.40,129,59,59
173181,101790.00,30.40,128,59,59
173503,101794.00,30.40,128,59,59
173824,101794.00,30.40,128,59,59
174148,101793.00,30.40,128,59,59
174469,101795.00,30.40,128,59,59
174790,101798.00,30.40,128,59,59
175111,101800.00,30.40,128,59,59
175432,101794.00,30.40,128,59,59
175754,101798.00,30.40,128,59,59
176080,101793.00,30.40,128,59,59
176403,101796.00,30.40,128,59,59
176723,101791.00,30.40,128,59,59
177045,101795.00,30.40,128,59,59
177367,101796.00,30.40,128,59,59
177687,101795.00,30.40,128,59,59
178009,101794.00,30.40,128,59,59
178329,101796.00,30.40,128,59,59
178651,101792.00,30.40,128,59,59
178974,101794.00,30.40,128,59,59
179296,101793.00,30.40,128,59,59
179617,101795.00,30.50,128,59,59
179938,101794.00,30.50,128,59,59
180259,101801.00,30.50,128,59,59
180580,101799.00,30.50,128,59,59
180901,101797.00,30.50,128,59,59
181223,101807.00,30.50,128,59,59
181543,101806.00,30.50,128,59,59
181865,101801.00,30.50,128,59,59
182185,101810.00,30.50,128,59,59
182507,101808.00,30.50,128,59,59
182829,101804.00,30.50,128,59,59
183149,101804.00,30.50,128,59,59
183471,101804.00,30.50,128,59,59
183794,101799.00,30.50,128,59,59
184116,101790.00,30.50,128,59,59
184436,101789.00,30.50,128,59,59
184758,101796.00,30.50,128,59,59
185078,101794.00,30.50,128,59,59
185400,101790.00,30.50,128,59,59
185728,101794.00,30.50,128,59,59
186049,101791.00,30.50,128,59,59
186370,101797.00,30.50,128,59,59
186691,101791.00,30.50,128,59,59
187013,101794.00,30.50,128,59,59
187333,101794.00,30.50,128,59,59
187655,101795.00,30.50,128,59,59
187975,101797.00,30.50,128,59,59
188297,101799.00,30.50,128,59,59
188620,101790.00,30.50,128,59,59
188942,101797.00,30.50,128,59,59
189263,101799.00,30.50,128,59,59
189584,101790.00,30.50,128,59,59
189905,101792.00,30.50,128,59,59
190226,101796.00,30.50,128,59,59
190547,101794.00,30.50,127,59,59
190869,101795.00,30.50,127,59,59
191190,101795.00,30.50,127,59,59
191511,101794.00,30.50,127,59,59
191832,101796.00,30.50,127,59,59
192153,101786.00,30.50,127,59,59
192475,101791.00,30.50,127,59,59
192795,101793.00,30.50,127,59,59
193117,101789.00,30.50,127,59,59
193440,101785.00,30.50,127,59,59
193762,101792.00,30.60,127,59,59
194082,101796.00,30.60,127,59,59
194404,101794.00,30.60,127,59,59
194725,101791.00,30.60,127,59,59
195046,101793.00,30.60,127,59,59
195374,101793.00,30.60,127,59,59
195695,101796.00,30.60,127,59,59
196017,101794.00,30.60,127,59,59
196337,101794.00,30.60,127,59,59
196659,101799.00,30.60,127,59,59
196979,101793.00,30.60,127,59,59
197301,101795.00,30.60,127,59,59
197622,101793.00,30.60,127,59,59
197943,101792.00,30.60,127,59,59
198267,101796.00,30.60,127,59,59
198588,101798.00,30.60,127,59,59
198909,101795.00,30.60,127,59,59
199230,101796.00,30.60,127,59,59
199552,101793.00,30.60,127,59,59
199873,101793.00,30.60,127,59,59
200194,101792.00,30.60,127,59,59
200515,101795.00,30.60,127,59,59
200837,101797.00,30.60,127,59,59
201157,101797.00,30.60,127,59,59
201479,101796.00,30.60,127,59,59
201799,101796.00,30.60,127,59,59
202121,101796.00,30.60,127,59,59
202442,101795.00,30.60,127,59,59
202763,101796.00,30.60,127,59,59
203087,101791.00,30.60,127,59,59
203408,101791.00,30.60,127,59,59
203729,101796.00,30.60,127,59,59
204050,101794.00,30.60,127,59,59
204371,101791.00,30.60,127,59,59
204692,101794.00,30.70,127,59,60
205019,101794.00,30.70,127,59,59
205341,101796.00,30.70,127,59,59
205662,101791.00,30.70,127,59,59
205983,101794.00,30.70,127,59,59
206304,101795.00,30.70,127,59,59
206625,101796.00,30.70,127,59,59
206946,101795.00,30.70,127,59,59
207267,101794.00,30.70,127,60,59
207588,101795.00,30.70,127,59,60
207911,101793.00,30.70,127,59,60
208233,101791.00,30.70,127,60,60
208553,101794.00,30.70,127,60,60
208875,101799.00,30.70,127,60,60
209196,101793.00,30.70,127,60,60
209517,101797.00,30.70,127,60,60
209838,101793.00,30.70,127,60,59
210159,101796.00,30.70,126,60,60
210480,101795.00,30.70,126,60,60
210801,101794.00,30.70,126,60,60
211122,101794.00,30.70,126,60,60
211443,101793.00,30.70,126,60,60
211764,101793.00,30.70,126,60,60
212085,101790.00,30.70,126,60,60
212407,101789.00,30.70,126,60,60
212730,101795.00,30.70,126,60,60
213051,101803.00,30.70,126,60,60
213372,101799.00,30.70,126,60,60
213694,101796.00,30.70,126,60,60
214014,101797.00,30.70,126,60,60
214336,101796.00,30.70,126,60,60
214662,101798.00,30.70,126,60,60
214985,101799.00,30.70,126,60,60
215306,101800.00,30.70,126,60,60
215627,101799.00,30.70,126,60,60
215949,101797.00,30.70,126,60,60
216269,101795.00,30.70,126,60,60
216591,101799.00,30.70,126,60,60
216911,101801.00,30.70,126,60,60
217233,101803.00,30.70,126,60,60
217556,101798.00,30.70,126,60,60
217878,101799.00,30.70,126,60,60
218200,101800.00,30.70,126,60,60
218520,101799.00,30.80,126,60,60
218842,101803.00,30.80,126,60,60
219163,101799.00,30.80,126,60,60
219484,101794.00,30.80,126,60,60
219805,101795.00,30.80,126,60,60
220126,101797.00,30.80,126,60,60
220447,101796.00,30.80,126,60,60
220769,101795.00,30.80,126,60,60
221090,101791.00,30.80,126,60,60
221411,101792.00,30.80,126,60,60
221732,101792.00,30.80,126,60,60
222053,101792.00,30.80,126,60,60
222377,101795.00,30.80,125,60,60
222699,101793.00,30.80,125,60,60
223020,101793.00,30.80,125,60,60
223341,101788.00,30.80,125,60,60
223663,101788.00,30.80,125,60,60
223983,101782.00,30.80,125,60,60
224309,101787.00,30.80,125,60,60
224632,101786.00,30.80,125,60,60
224954,101788.00,30.80,125,60,60
225275,101791.00,30.80,125,60,60
225596,101789.00,30.80,125,60,60
225917,101786.00,30.80,125,60,60
226238,101789.00,30.80,125,60,60
226560,101789.00,30.80,125,60,60
226881,101792.00,30.80,125,60,60
227205,101788.00,30.80,125,60,60
227526,101791.00,30.80,125,60,60
227847,101791.00,30.80,125,60,60
228168,101787.00,30.80,125,60,60
228490,101784.00,30.80,125,60,60
228810,101789.00,30.80,125,60,60
229132,101788.00,30.80,125,60,60
229452,101789.00,30.80,125,60,60
229774,101790.00,30.80,125,60,60
230095,101790.00,30.80,125,60,60
230416,101793.00,30.80,125,60,60
230737,101789.00,30.80,125,60,60
231059,101785.00,30.80,124,60,60
231379,101786.00,30.80,124,60,60
231701,101790.00,30.80,124,60,60
232025,101792.00,30.90,124,60,60
232346,101787.00,30.80,124,60,60
232668,101787.00,30.80,124,60,60
232988,101785.00,30.90,124,60,60
233310,101787.00,30.90,124,60,60
233630,101788.00,30.90,124,60,60
233956,101789.00,30.90,124,60,60
234279,101787.00,30.90,124,60,60
234601,101787.00,30.90,124,60,60
234923,101789.00,30.90,124,60,60
235243,101783.00,30.90,124,60,60
235565,101784.00,30.90,124,60,60
235885,101789.00,30.90,124,60,60
236207,101789.00,30.90,124,60,60
236528,101788.00,30.90,124,60,60
236852,101787.00,30.90,124,60,60
237173,101787.00,30.90,124,60,60
237494,101791.00,30.90,124,60,60
237815,101789.00,30.90,124,60,60
238137,101789.00,30.90,124,60,60
238457,101788.00,30.90,124,60,60
238779,101788.00,30.90,124,60,60
239099,101788.00,30.90,124,60,60
239421,101791.00,30.90,124,60,60
239742,101788.00,30.90,124,60,60
240063,101787.00,30.90,124,60,60
240385,101790.00,30.90,124,60,60
240706,101792.00,30.90,124,60,60
241027,101787.00,30.90,124,60,60
241348,101786.00,30.90,124,60,60
241672,101785.00,30.90,124,60,60
241992,101788.00,30.90,124,60,60
242314,101781.00,30.90,124,60,60
242634,101789.00,30.90,124,60,60
242956,101784.00,30.90,124,60,60
243276,101785.00,30.90,124,60,60
243602,101785.00,30.90,124,60,60
243926,101784.00,30.90,124,60,60
244247,101786.00,31.00,124,60,60
244568,101785.00,31.00,124,60,60
244888,101785.00,31.00,124,60,60
245210,101784.00,31.00,124,60,60
245530,101787.00,31.00,124,60,60
245852,101786.00,31.00,124,60,60
246172,101788.00,31.00,124,60,60
246494,101789.00,31.00,124,60,60
246812,101783.00,31.00,124,60,60
247134,101784.00,31.00,124,60,60
247454,101783.00,31.00,124,60,60
247776,101787.00,31.00,124,60,60
248096,101792.00,31.00,124,60,60
248418,101790.00,31.00,124,60,60
248738,101791.00,31.00,124,60,60
249060,101791.00,31.00,124,60,60
